Feature,Importance
lag_7,0.5411565
lag_1,0.16043195
roll_mean_7,0.06667226
day_of_week,0.054737613
pct_change_7,0.050878555
lag_14,0.036368575
diff_1,0.026196482
dow_sin,0.025975527
dow_cos,0.020250706
month_cos,0.007207703
temp_lag_1,0.0035950139
HDD,0.0013453726
year,0.0012877178
national_temp_avg,0.0012785628
roll_std_7,0.00094021915
month,0.0007259874
temp_lag_3,0.00041244822
lag_30,0.00033041905
month_sin,0.00014140723
CDD,6.697167e-05
