Model,Dataset,MAE,RMSE
RF_Univariate,Validation,14040.932120383039,26577.02822857492
RF_Univariate,Test,22475.750694063932,61064.75374448201
RF_Multivariate,Validation,14654.017523939812,27589.464163298053
RF_Multivariate,Test,23507.11302283105,61761.31146118568
