Model,Dataset,MAE,RMSE
XGB_Univariate,Validation,12352.56640625,24210.33432235086
XGB_Univariate,Test,18568.640625,57475.193675184775
XGB_Multivariate,Validation,12646.703125,23062.606270757864
XGB_Multivariate,Test,18264.708984375,56829.72743204035
