Model,Dataset,MAE,RMSE
Naive,Validation,63361.02599179206,85066.50379010825
Seasonal_Naive,Validation,71346.77154582764,92200.33388587907
Naive,Test,67673.08493150685,106633.78272363165
Seasonal_Naive,Test,77572.82465753425,117495.82935083736
