DATE,daily_demand,national_temp_avg
2019-10-05,1176607,12.292857142857143
2019-10-06,1097492,12.978571428571428
2019-10-07,1325510,12.385714285714286
2019-10-08,1246712,12.235714285714286
2019-10-09,1272113,12.214285714285714
2019-10-10,1257943,11.657142857142857
2019-10-11,1275476,13.12142857142857
2019-10-12,1202959,11.714285714285714
2019-10-13,1191210,11.007142857142856
2019-10-14,1378191,10.635714285714286
2019-10-15,1360981,11.492857142857144
2019-10-16,1324481,11.25
2019-10-17,1344957,8.471428571428572
2019-10-18,1316432,10.221428571428572
2019-10-19,1202228,9.485714285714286
2019-10-20,1161201,8.657142857142857
2019-10-21,1382387,10.028571428571428
2019-10-22,1393081,8.97857142857143
2019-10-23,1408582,8.707142857142857
2019-10-24,1400896,10.064285714285715
2019-10-25,1372561,8.7
2019-10-26,1257848,9.6
2019-10-27,1186286,6.1000000000000005
2019-10-28,1445618,4.75
2019-10-29,1437652,6.457142857142857
2019-10-30,1418274,7.585714285714286
2019-10-31,1457582,9.316666666666666
2019-11-01,1406485,8.421428571428573
2019-11-02,1249537,10.366666666666665
2019-11-03,1266774,8.985714285714286
2019-11-04,1455020,8.907142857142857
2019-11-05,1447086,7.257142857142857
2019-11-06,1513808,5.578571428571428
2019-11-07,1492780,5.75
2019-11-08,1483278,3.75
2019-11-09,1423832,3.4857142857142853
2019-11-10,1329822,5.208333333333333
2019-11-11,1454362,5.357142857142857
2019-11-12,1492399,5.0
2019-11-13,1537858,4.383333333333334
2019-11-14,1548547,4.835714285714286
2019-11-15,1519689,5.8999999999999995
2019-11-16,1396907,5.75
2019-11-17,1386943,4.2785714285714285
2019-11-18,1531839,3.335714285714286
2019-11-19,1625509,2.1571428571428575
2019-11-20,1569177,3.358333333333333
2019-11-21,1599883,5.741666666666667
2019-11-22,1537200,6.708333333333333
2019-11-23,1380152,8.6
2019-11-24,1373502,9.091666666666667
2019-11-25,1510554,9.557142857142859
2019-11-26,1500303,9.9
2019-11-27,1516699,7.607142857142857
2019-11-28,1508865,6.307142857142857
2019-11-29,1538078,2.641666666666666
2019-11-30,1451357,1.9916666666666665
2019-12-01,1426964,2.6
2019-12-02,1626630,3.2249999999999996
2019-12-03,1607197,4.616666666666667
2019-12-04,1617987,5.733333333333333
2019-12-05,1569758,6.458333333333333
2019-12-06,1451549,7.466666666666666
2019-12-07,1319096,8.458333333333334
2019-12-08,1235450,8.316666666666666
2019-12-09,1483524,8.85
2019-12-10,1537621,3.9166666666666665
2019-12-11,1570334,5.658333333333334
2019-12-12,1600021,4.491666666666666
2019-12-13,1515260,5.808333333333334
2019-12-14,1356614,5.6499999999999995
2019-12-15,1346857,5.483333333333333
2019-12-16,1566500,4.633333333333334
2019-12-17,1631294,7.208333333333333
2019-12-18,1583750,5.983333333333333
2019-12-19,1484482,5.666666666666667
2019-12-20,1494424,8.383333333333333
2019-12-21,1358572,5.841666666666668
2019-12-22,1304555,7.566666666666666
2019-12-23,1368289,7.375
2019-12-24,1308569,7.066666666666666
2019-12-25,1198426,5.083333333333333
2019-12-26,1203777,4.791666666666667
2019-12-27,1346665,7.033333333333334
2019-12-28,1285514,7.5249999999999995
2019-12-29,1242007,8.641666666666667
2019-12-30,1331374,5.716666666666668
2019-12-31,1344314,5.358333333333333
2020-01-01,1278559,6.766666666666667
2020-01-02,1394122,6.9750000000000005
2020-01-03,1416337,7.783333333333334
2020-01-04,1320727,6.333333333333333
2020-01-05,1314810,7.341666666666666
2020-01-06,1421837,9.916666666666666
2020-01-07,1464360,8.1
2020-01-08,1485443,9.025
2020-01-09,1470823,8.241666666666667
2020-01-10,1482661,6.925
2020-01-11,1273508,6.641666666666667
2020-01-12,1283817,8.674999999999999
2020-01-13,1469376,8.116666666666667
2020-01-14,1481490,7.541666666666667
2020-01-15,1468902,8.799999999999999
2020-01-16,1476847,6.625
2020-01-17,1498087,6.808333333333334
2020-01-18,1391456,3.2416666666666667
2020-01-19,1421402,2.875
2020-01-20,1601192,3.6
2020-01-21,1617805,3.908333333333333
2020-01-22,1609031,4.35
2020-01-23,1611239,6.291666666666667
2020-01-24,1580619,6.808333333333334
2020-01-25,1426021,7.541666666666667
2020-01-26,1341715,6.971428571428571
2020-01-27,1514865,6.058333333333334
2020-01-28,1505171,5.641666666666667
2020-01-29,1493828,7.0
2020-01-30,1491222,8.328571428571427
2020-01-31,1410193,9.483333333333334
2020-02-01,1211462,10.441666666666666
2020-02-02,1266797,7.45
2020-02-03,1409359,7.9750000000000005
2020-02-04,1468628,6.25
2020-02-05,1556071,5.191666666666666
2020-02-06,1544969,4.9750000000000005
2020-02-07,1471368,5.333333333333333
2020-02-08,1242024,7.183333333333334
2020-02-09,1269846,7.392857142857143
2020-02-10,1445836,5.458333333333333
2020-02-11,1466352,5.221428571428571
2020-02-12,1489184,5.550000000000001
2020-02-13,1517642,7.191666666666667
2020-02-14,1490027,7.083333333333333
2020-02-15,1305879,7.391666666666667
2020-02-16,1245819,9.325000000000001
2020-02-17,1404754,6.908333333333334
2020-02-18,1447628,6.864285714285714
2020-02-19,1507314,6.141666666666667
2020-02-20,1448021,7.875
2020-02-21,1433131,7.416666666666667
2020-02-22,1231917,9.258333333333333
2020-02-23,1250723,8.866666666666667
2020-02-24,1445578,6.735714285714286
2020-02-25,1464507,5.675
2020-02-26,1494550,4.233333333333333
2020-02-27,1506329,6.125
2020-02-28,1538195,4.425
2020-02-29,1247283,6.541666666666667
2020-03-01,1228399,6.141666666666667
2020-03-02,1476178,6.133333333333333
2020-03-03,1502440,4.966666666666667
2020-03-04,1565480,3.466666666666667
