DATE,daily_demand,national_temp_avg,lag_1,lag_7,lag_14,lag_30,roll_mean_7,roll_std_7,diff_1,pct_change_7,HDD,CDD,temp_lag_1,temp_lag_3,day_of_week,month,year,dow_sin,dow_cos,month_sin,month_cos
2009-01-31,1685283,4.421428571428572,1876536.0,1707217.0,1625433.0,1609331.0,1827907.2857142857,116127.32888330574,-191253.0,-0.01284781020807546,13.57857142857143,0.0,4.15625,3.8375,5,1,2009,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2009-02-01,1707371,1.9666666666666668,1685283.0,1635835.0,1606304.0,1732180.0,1838126.7142857143,98166.11369971205,22088.0,0.04373057184862783,16.03333333333333,0.0,4.421428571428572,3.775,6,2,2009,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2009-02-02,1962778,-0.1916666666666666,1707371.0,1878763.0,1887255.0,1705449.0,1850128.857142857,108549.36707542898,255407.0,0.04471825344654956,18.191666666666666,0.0,1.9666666666666668,4.15625,0,2,2009,0.0,1.0,0.8660254037844386,0.5000000000000001
2009-02-03,1977403,0.3999999999999999,1962778.0,1913703.0,1915537.0,1722709.0,1859228.857142857,117100.4955546427,14625.0,0.03328625183740641,17.6,0.0,-0.1916666666666666,4.421428571428572,1,2,2009,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2009-02-04,1981996,0.3083333333333333,1977403.0,1912747.0,1930579.0,1968329.0,1869121.5714285714,125031.77964935856,4593.0,0.036203951698787096,17.691666666666666,0.0,0.3999999999999999,1.9666666666666668,2,2,2009,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2009-02-05,1992887,0.1642857142857143,1981996.0,1892484.0,1892785.0,2046729.0,1883464.857142857,133622.3813955191,10891.0,0.053053552896616285,17.835714285714285,0.0,0.3083333333333333,-0.1916666666666666,3,2,2009,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2009-02-06,1962973,0.6214285714285713,1992887.0,1876536.0,1865658.0,2058163.0,1895813.0,136830.70083988237,-29914.0,0.046061999343471216,17.37857142857143,0.0,0.1642857142857143,0.3999999999999999,4,2,2009,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2009-02-07,1762074,0.3285714285714285,1962973.0,1685283.0,1707217.0,2005754.0,1906783.142857143,119063.48106147512,-200899.0,0.04556564090422799,17.67142857142857,0.0,0.6214285714285713,0.3083333333333333,5,2,2009,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2009-02-08,1733341,0.5,1762074.0,1707371.0,1635835.0,1998687.0,1910493.142857143,112009.89586851801,-28733.0,0.015210519564874847,17.5,0.0,0.3285714285714285,0.1642857142857143,6,2,2009,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2009-02-09,1965138,1.3875,1733341.0,1962778.0,1878763.0,1828900.0,1910830.2857142857,112196.89471596271,231797.0,0.0012023774466598525,16.6125,0.0,0.5,0.6214285714285713,0,2,2009,0.0,1.0,0.8660254037844386,0.5000000000000001
2009-02-10,1958606,2.6125,1965138.0,1977403.0,1913703.0,1699964.0,1908145.0,110550.87544957174,-6532.0,-0.00950590243870364,15.3875,0.0,1.3875,0.3285714285714285,1,2,2009,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
