Model,Dataset,MAE,RMSE
XGB_Multivariate,Test,18264.708984375,56829.72743204035
XGB_Univariate,Test,18568.640625,57475.193675184775
RF_Univariate,Test,22475.75069406393,61064.75374448201
RF_Multivariate,Test,23507.11302283105,61761.31146118568
LSTM_Multivariate,Test,40088.322014925376,78200.2008108195
LSTM_Univariate,Test,44773.92164179104,81381.82851347164
Naive,Test,67673.08493150685,106633.78272363164
Seasonal_Naive,Test,77572.82465753425,117495.82935083736
